"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Actb",3.82735029188476e-100,0.719658509730869,1,0.999,4.17410822832952e-96,"EPO_responsive","Actb"
"Cbx3",5.35544994455181e-77,0.652238686571589,0.994,0.894,5.8406537095282e-73,"EPO_responsive","Cbx3"
"Tubb5",1.40739534167936e-56,0.617340357865347,0.997,0.976,1.53490535963551e-52,"EPO_responsive","Tubb5"
"Supt16",1.12535468446856e-54,0.661673422255255,0.905,0.603,1.22731181888141e-50,"EPO_responsive","Supt16"
"Ptma",1.94974299903838e-44,0.296438094916731,1,1,2.12638971475125e-40,"EPO_responsive","Ptma"
"Kdelr2",7.57888428006032e-36,0.548773218075852,0.813,0.492,8.26553119583378e-32,"EPO_responsive","Kdelr2"
"Srsf2",2.30229613851425e-33,0.381377078279893,0.981,0.923,2.51088416866364e-29,"EPO_responsive","Srsf2"
"Ndufa4",1.81431776794822e-31,0.322593226484866,1,0.987,1.97869495772433e-27,"EPO_responsive","Ndufa4"
"Abhd2",2.36749687411738e-29,0.563580688002424,0.737,0.391,2.58199209091241e-25,"EPO_responsive","Abhd2"
"Slc39a1",2.53561592206635e-27,0.455564479126457,0.801,0.468,2.76534272460556e-23,"EPO_responsive","Slc39a1"
"Notch2",2.20847952685693e-26,0.433484386034756,0.801,0.453,2.40856777199017e-22,"EPO_responsive","Notch2"
"Stmn1",1.20043449891816e-25,0.393871365843507,0.984,0.929,1.30919386452015e-21,"EPO_responsive","Stmn1"
"H2afz",2.42638559697263e-25,0.348385416196124,1,0.988,2.64621613205835e-21,"EPO_responsive","H2afz"
"Srrm2",6.99107192030988e-25,0.336635043717405,0.972,0.907,7.62446303628995e-21,"EPO_responsive","Srrm2"
"Ranbp1",1.40208251942025e-23,0.373947703570852,0.965,0.871,1.52911119567973e-19,"EPO_responsive","Ranbp1"
"Erdr1",1.44609941044157e-23,0.55108543713808,0.703,0.449,1.57711601702757e-19,"EPO_responsive","Erdr1"
"Nop10",3.16371737681042e-23,0.273132538303197,1,0.975,3.45035017114945e-19,"EPO_responsive","Nop10"
"Hmgb2",5.54300186203025e-23,0.420696249824454,0.965,0.835,6.04519783073019e-19,"EPO_responsive","Hmgb2"
"Pfas",1.36259815147659e-22,0.466877972978501,0.661,0.397,1.48604954400037e-18,"EPO_responsive","Pfas"
"mt-Nd1",1.7241513137587e-20,0.189045676712218,1,1,1.88035942278523e-16,"EPO_responsive","mt-Nd1"
"Dctpp1",4.4372965708337e-20,0.343897118181721,0.921,0.748,4.83931564015123e-16,"EPO_responsive","Dctpp1"
"Wtap",4.76738101873161e-20,0.421933114518415,0.785,0.578,5.1993057390287e-16,"EPO_responsive","Wtap"
"Mcmbp",6.67251344481261e-20,0.41210688181397,0.69,0.42,7.27704316291263e-16,"EPO_responsive","Mcmbp"
"Insig1",1.97163685688197e-19,0.370301651174175,0.801,0.533,2.15026715611548e-15,"EPO_responsive","Insig1"
"Hmgn2",2.19146839119539e-19,0.321852313110434,0.978,0.933,2.3900154274377e-15,"EPO_responsive","Hmgn2"
"Sumo2",3.82409980529895e-19,0.217633022931206,1,0.971,4.17056324765904e-15,"EPO_responsive","Sumo2"
"Wdr76",5.54361061182128e-19,0.439731396231679,0.554,0.306,6.04586173325229e-15,"EPO_responsive","Wdr76"
"Fhl3",7.9572639703777e-19,0.391980793125144,0.554,0.263,8.67819208609392e-15,"EPO_responsive","Fhl3"
