"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Atp8",1.09739310284125e-32,0.323046670924207,0.628,0.445,1.19681691795867e-28,"Control","mt-Atp8"
"Mecom",4.93000578387234e-22,0.291845764633546,0.619,0.466,5.37666430789117e-18,"Control","Mecom"
"Serinc3",2.1235458227963e-19,0.173625996033856,0.97,0.95,2.31593907434164e-15,"Control","Serinc3"
"Eef2",3.07084298589267e-19,0.180762877088645,0.996,0.996,3.34906136041455e-15,"Control","Eef2"
"Cebpb",5.12999626782929e-17,0.212181612279735,0.275,0.151,5.59477392969462e-13,"Control","Cebpb"
"Txnip",5.4556084647457e-17,0.235607131327869,0.651,0.506,5.94988659165166e-13,"Control","Txnip"
"Aes",1.38610141971369e-15,0.19117943391868,0.837,0.758,1.51168220833975e-11,"Control","Aes"
"Nrgn",1.48292015758726e-15,0.218315039543334,0.752,0.66,1.61727272386467e-11,"Control","Nrgn"
"Jund",1.37974192380328e-14,0.239272294948167,0.411,0.292,1.50474654209985e-10,"Control","Jund"
"Pabpc1",2.10587929996056e-13,0.0975317701274241,0.998,0.997,2.29667196453699e-09,"Control","Pabpc1"
"Bin2",3.27321328154096e-13,0.179550592031564,0.813,0.743,3.56976640484857e-09,"Control","Bin2"
"Ubc",8.23316996697669e-13,0.177014375595298,0.755,0.658,8.97909516598477e-09,"Control","Ubc"
"Pkm",6.11514837536393e-12,0.157145022992035,0.916,0.887,6.6691808181719e-08,"Control","Pkm"
"Car2",8.10193529554369e-12,0.14861153593301,0.96,0.927,8.83597063331995e-08,"Control","Car2"
"Trim28",1.01733714767914e-11,0.174633040319169,0.617,0.512,1.10950789325887e-07,"Control","Trim28"
"Sqstm1",2.66080825651148e-11,0.214805614740378,0.52,0.418,2.90187748455142e-07,"Control","Sqstm1"
"Cbx6",2.69976818941554e-11,0.174610797390296,0.501,0.379,2.94436718737659e-07,"Control","Cbx6"
"Gnai2",7.8934395262597e-11,0.142578567004931,0.891,0.837,8.60858514733882e-07,"Control","Gnai2"
"Nmt1",8.22655376446191e-11,0.167727885214605,0.522,0.42,8.97187953552216e-07,"Control","Nmt1"
"Hcls1",1.2381831322852e-10,0.157029313785995,0.559,0.442,1.35036252407024e-06,"Control","Hcls1"
"Mknk2",1.58508892692983e-10,0.171030082478669,0.453,0.344,1.72869798370968e-06,"Control","Mknk2"
"Laptm5",1.65161984253864e-10,0.130534759272537,0.905,0.856,1.80125660027264e-06,"Control","Laptm5"
"Snhg9",2.40439827551099e-10,0.173779354161582,0.405,0.303,2.62223675927229e-06,"Control","Snhg9"
"Tln1",2.82476218651212e-10,0.148739564438175,0.791,0.715,3.08068564061012e-06,"Control","Tln1"
"H2-D1",3.83142918396643e-10,0.121915868796523,0.985,0.985,4.17855666803379e-06,"Control","H2-D1"
"Neat1",6.43343485199448e-10,0.191336025091414,0.541,0.439,7.01630404958518e-06,"Control","Neat1"
"Meis1",7.18092294008207e-10,0.16272582136181,0.821,0.753,7.8315145584535e-06,"Control","Meis1"
"Ptp4a2",1.00280521167107e-09,0.133066892356329,0.795,0.71,1.09365936384847e-05,"Control","Ptp4a2"
"Gltscr2",1.62847330016154e-09,0.127055680328747,0.907,0.859,1.77601298115618e-05,"Control","Gltscr2"
"Zfp687",1.64563872079464e-09,0.14701780914704,0.174,0.103,1.79473358889864e-05,"Control","Zfp687"
"Sipa1",1.94422253478173e-09,0.149078606185296,0.404,0.301,2.12036909643295e-05,"Control","Sipa1"
"Ypel3",2.46398395411622e-09,0.154107381416621,0.716,0.612,2.68722090035915e-05,"Control","Ypel3"
"Ccnd3",2.52027152508652e-09,0.125995909321357,0.785,0.705,2.74860812525936e-05,"Control","Ccnd3"
"Ehmt2",3.60432615383252e-09,0.143844663016398,0.278,0.184,3.93087810336975e-05,"Control","Ehmt2"
"Rcc2",4.15146682564791e-09,0.140483435152829,0.702,0.611,4.52758972005161e-05,"Control","Rcc2"
"Nfic",5.81701348620264e-09,0.167483851890343,0.612,0.524,6.3440349080526e-05,"Control","Nfic"
"Rasal3",7.24436901992526e-09,0.154445141582758,0.371,0.276,7.90070885313049e-05,"Control","Rasal3"
"Itgb3",7.41510984063937e-09,0.156613358520103,0.489,0.387,8.08691879220129e-05,"Control","Itgb3"
"Dpf2",9.12761169117794e-09,0.132393124958219,0.485,0.379,9.95457331039866e-05,"Control","Dpf2"
"Cd27",1.08351608923505e-08,0.145753404625422,0.658,0.56,0.000118168264691975,"Control","Cd27"
"Plek",1.25529175890921e-08,0.160528653000579,0.467,0.369,0.000136902119226638,"Control","Plek"
"Cxxc5",1.32968604047653e-08,0.150796252779944,0.602,0.514,0.00014501555957437,"Control","Cxxc5"
"Gtf2i",1.40059498773019e-08,0.124921788734029,0.488,0.379,0.000152748889361854,"Control","Gtf2i"
"Twf2",1.44771435293817e-08,0.143057263662766,0.397,0.296,0.000157887727331437,"Control","Twf2"
"Plekho2",1.6474095054481e-08,0.14701476108714,0.243,0.166,0.00017966648066417,"Control","Plekho2"
"Prr13",1.97828757845694e-08,0.155760188794911,0.77,0.699,0.000215752043306514,"Control","Prr13"
"Cxxc1",2.10026411177945e-08,0.128371217092805,0.297,0.206,0.000229054804030666,"Control","Cxxc1"
"Mgat4b",2.23595573198984e-08,0.141939278375977,0.254,0.175,0.000243853332130812,"Control","Mgat4b"
"Maz",2.30263931757329e-08,0.143438825974405,0.639,0.556,0.000251125843974543,"Control","Maz"
"Stard10",2.33351025646821e-08,0.151727722636924,0.361,0.268,0.000254492628570423,"Control","Stard10"
"Ctnnb1",2.52384108492476e-08,0.149836888228517,0.537,0.443,0.000275250108721895,"Control","Ctnnb1"
"Mtch1",2.74007389937505e-08,0.152838265855908,0.567,0.485,0.000298832459465843,"Control","Mtch1"
"Eng",2.88515512959702e-08,0.14649055787521,0.418,0.323,0.000314655018433851,"Control","Eng"
"Irgm1",3.10964705370737e-08,0.145078198022625,0.25,0.165,0.000339138107677326,"Control","Irgm1"
"Otulin",3.14855644959842e-08,0.152255084336293,0.345,0.263,0.000343381566393204,"Control","Otulin"
"Ctdsp2",3.47375354818051e-08,0.134583844580505,0.335,0.242,0.000378847561964567,"Control","Ctdsp2"
"Smad7",3.59807213773044e-08,0.203415133699029,0.391,0.308,0.000392405747340882,"Control","Smad7"
"Rnf19b",3.69424258810542e-08,0.133862482054486,0.152,0.093,0.000402894096658778,"Control","Rnf19b"
"H3f3b",4.21825238442418e-08,0.0632529652451308,1,1,0.000460042605045301,"Control","H3f3b"
"Csnk1d",4.92849317371278e-08,0.143943694594847,0.358,0.275,0.000537501465525116,"Control","Csnk1d"
"Txlna",5.40483000164892e-08,0.136100961578603,0.439,0.344,0.000589450759979831,"Control","Txlna"
"Ttyh3",6.27113963136518e-08,0.132937293516952,0.34,0.244,0.000683930488196687,"Control","Ttyh3"
"Alyref",7.136540293016e-08,0.148955010844658,0.52,0.434,0.000778311084356325,"Control","Alyref"
"Ankrd13a",7.28271197154372e-08,0.144956277500051,0.745,0.681,0.000794252567616558,"Control","Ankrd13a"
"Pitpnm1",7.4940432157335e-08,0.104568673039188,0.129,0.072,0.000817300353107896,"Control","Pitpnm1"
