"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Atp8",7.92036752795805e-33,0.321316340667948,0.629,0.442,8.63795282599105e-29,"Control","mt-Atp8"
"Mecom",3.03688436909053e-21,0.285920224329314,0.618,0.466,3.31202609293013e-17,"Control","Mecom"
"Serinc3",7.91681592002644e-19,0.171114964010401,0.97,0.95,8.63407944238084e-15,"Control","Serinc3"
"Eef2",7.67864982757166e-18,0.176483747799729,0.996,0.996,8.37433550194965e-14,"Control","Eef2"
"Txnip",2.25489019465247e-17,0.234906895987197,0.652,0.503,2.45918324628798e-13,"Control","Txnip"
"Cebpb",8.37360071453544e-17,0.209899633885114,0.274,0.151,9.13224893927235e-13,"Control","Cebpb"
"Nrgn",8.36436788138269e-15,0.214212798108744,0.75,0.661,9.12217961143596e-11,"Control","Nrgn"
"Jund",2.39393197440219e-14,0.23597472599258,0.411,0.291,2.61082221128303e-10,"Control","Jund"
"Aes",2.98990807341968e-14,0.182760691217604,0.835,0.76,3.2607937448715e-10,"Control","Aes"
"Pabpc1",1.88167207503687e-13,0.0971023152737738,0.998,0.997,2.05215156503521e-09,"Control","Pabpc1"
"Ubc",3.73049186487765e-13,0.176919280882758,0.756,0.656,4.06847442783556e-09,"Control","Ubc"
"Bin2",2.1755914466022e-12,0.17369989361774,0.811,0.745,2.37270003166436e-08,"Control","Bin2"
"Pkm",3.20198571982599e-12,0.157962692315379,0.917,0.886,3.49208562604222e-08,"Control","Pkm"
"Car2",7.94901307411019e-12,0.147126946561047,0.96,0.926,8.66919365862457e-08,"Control","Car2"
"Trim28",3.64546656609641e-11,0.169739638448494,0.615,0.513,3.97574583698474e-07,"Control","Trim28"
"Nmt1",8.70205529824745e-11,0.167894959779084,0.522,0.419,9.49046150826867e-07,"Control","Nmt1"
"Snhg9",9.44800853271051e-11,0.176109938150219,0.407,0.3,1.03039981057741e-06,"Control","Snhg9"
"Cbx6",1.01561668855873e-10,0.168792074444714,0.499,0.379,1.10763156054215e-06,"Control","Cbx6"
"Sqstm1",1.98705939859092e-10,0.206093609523086,0.518,0.42,2.16708698010326e-06,"Control","Sqstm1"
"Gnai2",2.17603576385078e-10,0.13860309821335,0.891,0.837,2.37318460405566e-06,"Control","Gnai2"
"Hcls1",3.58666204253846e-10,0.151842003606554,0.558,0.442,3.91161362359244e-06,"Control","Hcls1"
"Mknk2",3.99313082651497e-10,0.16689763515765,0.451,0.344,4.35490847939722e-06,"Control","Mknk2"
"Sipa1",5.23629358979201e-10,0.153395314421214,0.406,0.298,5.71070178902716e-06,"Control","Sipa1"
"H2-D1",5.92755325723397e-10,0.119696625956499,0.985,0.985,6.46458958233937e-06,"Control","H2-D1"
"Tln1",8.86896111353046e-10,0.14290963604152,0.791,0.714,9.67248899041632e-06,"Control","Tln1"
"Meis1",9.33506417294059e-10,0.161722659430189,0.821,0.753,1.0180820987009e-05,"Control","Meis1"
"Laptm5",1.03026896703082e-09,0.123852522776465,0.904,0.856,1.12361133544381e-05,"Control","Laptm5"
"Neat1",1.94206513919358e-09,0.185782547779635,0.54,0.44,2.11801624080452e-05,"Control","Neat1"
"Zfp687",1.94213607410771e-09,0.145940661233531,0.174,0.102,2.11809360242186e-05,"Control","Zfp687"
"Ccnd3",5.45168734771807e-09,0.121828643447842,0.785,0.705,5.94561022142133e-05,"Control","Ccnd3"
"Ypel3",5.75960518362214e-09,0.149473134549383,0.715,0.612,6.28142541325831e-05,"Control","Ypel3"
"Gltscr2",7.25308025155882e-09,0.120396782920475,0.907,0.859,7.91020932235005e-05,"Control","Gltscr2"
"Twf2",9.69776254659394e-09,0.143224355065675,0.397,0.294,0.000105763798333154,"Control","Twf2"
"Ptp4a2",1.05375835306123e-08,0.124498880802706,0.792,0.712,0.000114922885984857,"Control","Ptp4a2"
"Rasal3",1.10458989860353e-08,0.151862781773623,0.37,0.276,0.000120466574341701,"Control","Rasal3"
"Ehmt2",1.2618216229883e-08,0.138570596811584,0.276,0.185,0.000137614266203104,"Control","Ehmt2"
"Rcc2",1.31090313174017e-08,0.135903643370285,0.7,0.612,0.000142967095547583,"Control","Rcc2"
"Dpf2",1.32942630396234e-08,0.129617965167307,0.484,0.379,0.000144987232710133,"Control","Dpf2"
"Cxxc1",1.46411490960968e-08,0.130531406930211,0.297,0.205,0.000159676372042032,"Control","Cxxc1"
"Irgm1",1.64204721133138e-08,0.148521945591259,0.25,0.164,0.0001790816688678,"Control","Irgm1"
"Plekho2",1.64578767127479e-08,0.145834781986394,0.243,0.165,0.000179489603429229,"Control","Plekho2"
"Txlna",2.06380031838608e-08,0.139810227740461,0.44,0.342,0.000225078062723186,"Control","Txlna"
"Maz",2.25103129754458e-08,0.142749696082803,0.64,0.555,0.000245497473310212,"Control","Maz"
"Nfic",2.45003085217437e-08,0.160758741165907,0.61,0.524,0.000267200364738137,"Control","Nfic"
"H3f3b",2.65112787256513e-08,0.0637479678557256,1,1,0.000289132005781953,"Control","H3f3b"
"Plek",2.79021633607217e-08,0.155784224099674,0.466,0.369,0.000304300993612031,"Control","Plek"
"Cxxc5",2.96945877473932e-08,0.145510440680193,0.602,0.514,0.00032384917397307,"Control","Cxxc5"
"Mgat4b",3.16379069030867e-08,0.139581335145743,0.254,0.175,0.000345043012685063,"Control","Mgat4b"
"Prr13",3.45908660500842e-08,0.150494037757985,0.77,0.698,0.000377247985142219,"Control","Prr13"
"Cd27",4.01763299549502e-08,0.138630235584043,0.657,0.561,0.000438163054488686,"Control","Cd27"
"Rnf19b",4.34127532257096e-08,0.133793887432618,0.152,0.093,0.000473459486679588,"Control","Rnf19b"
"Gtf2i",4.34732571058373e-08,0.119398189544883,0.487,0.379,0.000474119341996262,"Control","Gtf2i"
"Itgb3",4.62065660465421e-08,0.147835958234041,0.487,0.389,0.000503928809303589,"Control","Itgb3"
"Mtch1",4.96990002301269e-08,0.150256377327809,0.566,0.486,0.000542017296509764,"Control","Mtch1"
"Otulin",5.75304776204742e-08,0.149299609518779,0.344,0.264,0.000627427388928891,"Control","Otulin"
"Stard10",7.71958833080368e-08,0.145894900965211,0.359,0.269,0.000841898303357449,"Control","Stard10"
"Ctnnb1",9.30127026808302e-08,0.144573377478234,0.535,0.445,0.00101439653543713,"Control","Ctnnb1"
"Eng",9.51015640532811e-08,0.140140319390936,0.416,0.323,0.00103717765756508,"Control","Eng"
"Smad7",9.90642828215118e-08,0.198169853009115,0.389,0.31,0.00108039506845141,"Control","Smad7"
"Mcl1",1.05599499461752e-07,0.138007010251507,0.376,0.288,0.00115166814112986,"Control","Mcl1"
"Ttyh3",1.17190967052189e-07,0.129771608246092,0.339,0.244,0.00127808468667117,"Control","Ttyh3"
"Ctdsp2",1.17310633132699e-07,0.129173993124413,0.332,0.243,0.00127938976494521,"Control","Ctdsp2"
"Alyref",1.276035015834e-07,0.145488554469425,0.519,0.434,0.00139164378826856,"Control","Alyref"
"Klf10",1.29722514142277e-07,0.174072563472267,0.328,0.246,0.00141475373923567,"Control","Klf10"
"Rbm4b",1.34344736081263e-07,0.129936142785239,0.58,0.479,0.00146516369170225,"Control","Rbm4b"
"Rab14",1.39437857964138e-07,0.119964253674302,0.736,0.649,0.00152070927895689,"Control","Rab14"
"Pabpn1",1.42160407647599e-07,0.132839582578889,0.389,0.298,0.00155040140580472,"Control","Pabpn1"
"Hnrnpm",1.45685447998161e-07,0.132801308795609,0.769,0.712,0.00158884549586794,"Control","Hnrnpm"
"Csnk1d",1.54263311336826e-07,0.138326548123318,0.356,0.276,0.00168239567343942,"Control","Csnk1d"
"Pitpnm1",1.74284917782704e-07,0.101554477696457,0.128,0.072,0.00190075131333817,"Control","Pitpnm1"
"Rel",1.89976059575794e-07,0.137709245165342,0.217,0.146,0.0020718789057336,"Control","Rel"
"Serpina3g",2.05538284981608e-07,0.285128593610043,0.407,0.33,0.00224160053600942,"Control","Serpina3g"
"Coro1a",2.37945057318719e-07,0.108888602768625,0.896,0.861,0.00259502879511795,"Control","Coro1a"
"Ankrd13a",2.48082836587665e-07,0.139939981268184,0.743,0.682,0.00270559141582507,"Control","Ankrd13a"
"Cabin1",2.49101030127563e-07,0.129012927399283,0.252,0.178,0.0027166958345712,"Control","Cabin1"
"Ppt1",2.68201516098618e-07,0.138100437478785,0.423,0.334,0.00292500573457152,"Control","Ppt1"
"Sf3b2",2.73573499118195e-07,0.137987243669867,0.762,0.705,0.00298359258138303,"Control","Sf3b2"
"Arhgef40",2.91929144946483e-07,0.12631166963607,0.23,0.16,0.00318377925478634,"Control","Arhgef40"
"Rbm22",2.97169558617189e-07,0.126067247290088,0.521,0.43,0.00324093120627906,"Control","Rbm22"
"Fam134a",3.34665450417905e-07,0.128787130618355,0.414,0.327,0.00364986140225767,"Control","Fam134a"
"Limd2",3.5654472230958e-07,0.10085966588139,0.802,0.724,0.00388847674150828,"Control","Limd2"
"Wdr26",4.23434534697684e-07,0.126906334643704,0.644,0.562,0.00461797703541295,"Control","Wdr26"
"Fam168b",4.64481839978917e-07,0.137071257389706,0.451,0.369,0.00506563894681007,"Control","Fam168b"
"Puf60",4.85269303403252e-07,0.134692393402673,0.352,0.273,0.00529234702291586,"Control","Puf60"
"Naa15",5.36157408290111e-07,0.134532091643553,0.513,0.433,0.00584733269481195,"Control","Naa15"
"Abcf1",6.46201216708735e-07,0.112259221034538,0.551,0.464,0.00704747046942546,"Control","Abcf1"
"Polr3c",6.5442294707948e-07,0.120165867506376,0.219,0.155,0.00713713666084881,"Control","Polr3c"
"F11r",6.60092849081163e-07,0.118339610064649,0.44,0.345,0.00719897261207916,"Control","F11r"
"Senp6",7.25684965511795e-07,0.116676972983057,0.499,0.405,0.00791432023387164,"Control","Senp6"
"Aldh2",7.27094566176259e-07,0.104866456929687,0.843,0.79,0.00792969333871828,"Control","Aldh2"
"Sp110",7.40116254364442e-07,0.121072728319376,0.787,0.737,0.0080717078700986,"Control","Sp110"
