Almut,Shiozawa,Tusi,YangAnemicHSCs,Singh.Tg6,WilsonMolO,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,Nina_dHSCs,Nina_aHSCs,Nina_mpp1
Gnb1,Bmp2,Ctnnd2,Txnip,Trim15,Procr,Pf4,Sgms2,Ccl3,B9d2,Slfn2,Casd1,Rpp30,Pole3,Ndufb3,Kif4,Nusap1,Zfp93,Klf6,Pih1d2,Cox5a
Pdcd4,Bmp6,Msrb3,Tsc22d3 ,Igkv12-46,Pdzk1ip1,Clca1,Ly6d,Birc7,Hdgf,Wbscr27,Hbb-b1,Asb6,Hist1h2ac,Dusp7,Ect2,Cenpn,Gimap6,Slc22a18,Snrpn,Pdgfb
Birc6,,Map3k19,Txnip,Ankrd36,Ltb,Hist1h4d,Ighvq52.3.8,Rgl1,Gata1,Il2rg,Atp5a1,Utp3,Ccne1,Mcm10,2310014L17Rik,Cep78,Inadl,Itgb2l,S100a3,Zfp385a
Cdk6,,Ccl17,D4Wsu53e,Fcrl5,Mllt3,Aspm,Cybb,Kynu,Mrpl48,Cdkn1c,Btf3l4,Fdft1,Hist1h2ap,Gypc,Nusap1,Pbk,Lass4,Scpep1,Npepps,Atp5f1
Ftl1-ps1,,1700017N19Rik,Tagap1,AC079181.3,Ifitm1,Pigw,EG434025  // EG434025,Gcet2,Caprin1,Tgtp2,Ak3,Lrp10,Hist1h2ag,Phlda2,Cenpn,Hist1h2bj,Pdzk1ip1,Itgb2,Mrpl10,Hnrnpd
Kdm6b,,Col1a2,Rbm5,Adamdec1,Gimap1,Chadl,Rasgrp3,H2afy,Ran,Tmem176b,Rpl7l1,Ube2q1,Pcna,Exoc7,Cep78,Aurkb,Prdm16,Lck,Acap1,Dlg3
Rbm15,,Serpina3f,Med1,Saa3,Gimap6,Hist1h4m,Gata3,Fbxo32,Cdca7,Mettl7a1,D19Bwg1357e,Appbp1,Hist1h1c,Stxbp1,Pbk,MDC1,Rab34,Gm2a,Gstt1,Chtop
Ppm1h,,Pknox2,Pisd-ps1,Fam132b,Limd2,Sec14l2,4933426M11Rik,Hmox2,Pbk,Mllt3,Trak1,Myadm,Pole,Ywhah,Hist1h2bj,Top2a,1110020G09Rik,Cd52,Rec8,Mapk7
Kmt2d,,Col1a1,Dapp1,Scel,Trim47,Fhl1,AA408296,Hmg20a,Lig1,Gimap6,Eif4e2,2700060E02Rik,Hist1h2bj,Cflar,Aurkb,Hist1h2ag,5730469M10Rik,Tcf7,Cdkn1b,Mfsd10
Pam,,Pros1,Gvin1,Ephb1,Neil2,Gpr113,Trp53inp1,Apbb3,Uba1,Mkl2,Sra1,Brd4,Blm,Sass6,Nme3,D2Ertd750e,Speg,Il4,Fcgrt,Lgals9
